Model,LR,Batch Size,Epochs,Train Loss,Train RMSE,Train MAE,Train R2,Val Loss,Val RMSE,Val MAE,Val R2,Test Loss,Test RMSE,Test MAE,Test R2,Training Time
roberta,1e-06,16,2,1314.2909545898438,6.221478,6.134832,-35.50717852696035,39.2764622370402,6.2815394,6.2184367,-49.02323356546519,39.16465950012207,6.2728524,6.199048,-41.748092918810286,
roberta,1e-06,16,2,1314.2909545898438,6.221478,6.134832,-35.50717852696035,39.2764622370402,6.2815394,6.2184367,-49.02323356546519,39.16465950012207,6.2728524,6.199048,-41.748092918810286,93.09079504013062
roberta,1e-06,32,1,659.1498718261719,6.2264643,6.1380224,-35.56571794081897,40.04010454813639,6.2805266,6.2174125,-49.00710036139344,39.56329472859701,6.271841,6.198025,-41.73431127156533,
roberta,1e-06,32,1,659.1498718261719,6.2264643,6.1380224,-35.56571794081897,40.04010454813639,6.2805266,6.2174125,-49.00710036139344,39.56329472859701,6.271841,6.198025,-41.73431127156533,891.0540671348572
roberta,1e-06,32,2,659.4376602172852,6.2308774,6.1441307,-35.61757190679575,40.02733357747396,6.279515,6.21639,-48.990992815777425,39.55059941609701,6.270831,6.1970034,-41.72055080353545,
roberta,1e-06,32,2,659.4376602172852,6.2308774,6.1441307,-35.61757190679575,40.02733357747396,6.279515,6.21639,-48.990992815777425,39.55059941609701,6.270831,6.1970034,-41.72055080353545,1936.643385887146
distilbert,0.01,16,1,61.96952587738633,1.3548375,0.5170141,-0.7312730061902728,0.8822642639279366,0.968316,0.37971714,-0.18870427665617262,0.9949457574014863,1.0258099,0.35884652,-0.1431951616265712,
distilbert,0.01,16,1,61.96952587738633,1.3548375,0.5170141,-0.7312730061902728,0.8822642639279366,0.968316,0.37971714,-0.18870427665617262,0.9949457574014863,1.0258099,0.35884652,-0.1431951616265712,32.7311589717865
distilbert,0.01,16,2,335.49607038497925,3.2295768,2.8684797,-8.837444889577226,8.957903663317362,2.9891171,2.9535353,-10.327274567624313,9.131769816080729,3.017799,2.9971714,-8.89389352862517,
distilbert,0.01,16,2,335.49607038497925,3.2295768,2.8684797,-8.837444889577226,8.957903663317362,2.9891171,2.9535353,-10.327274567624313,9.131769816080729,3.017799,2.9971714,-8.89389352862517,54.41192889213562
distilbert,0.01,32,1,604.3134021759033,5.959168,5.7426267,-32.493644384643254,33.77615451812744,5.824804,5.787667,-42.01324286945094,34.18400637308756,5.855234,5.8006473,-36.24561722297396,
distilbert,0.01,32,1,604.3134021759033,5.959168,5.7426267,-32.493644384643254,33.77615451812744,5.824804,5.787667,-42.01324286945094,34.18400637308756,5.855234,5.8006473,-36.24561722297396,495.62900400161743
distilbert,0.01,32,2,4353.690460205078,15.776985,15.630849,-233.7681240937059,286.5729064941406,16.891214,16.86785,-360.71067938523095,285.3092041015625,16.875751,16.848457,-308.39469143692014,
distilbert,0.01,32,2,4353.690460205078,15.776985,15.630849,-233.7681240937059,286.5729064941406,16.891214,16.86785,-360.71067938523095,285.3092041015625,16.875751,16.848457,-308.39469143692014,1005.2031831741333
distilbert,1e-06,16,1,8709.795944213867,15.984037,15.936715,-239.97060306492966,284.7221934000651,16.885885,16.862514,-360.48250408504094,284.19608815511066,16.870424,16.84312,-308.199382531237,
distilbert,1e-06,16,1,8709.795944213867,15.984037,15.936715,-239.97060306492966,284.7221934000651,16.885885,16.862514,-360.48250408504094,284.19608815511066,16.870424,16.84312,-308.199382531237,32.885764837265015
