Model,LR,Batch Size,Epochs,Train Loss,Train RMSE,Train MAE,Train R2,Val Loss,Val RMSE,Val MAE,Val R2,Test Loss,Test RMSE,Test MAE,Test R2,Training Time
xlnet,1e-06,16,1,322.76727867126465,3.0831409,2.8892956,-7.965568592165946,10.132081906000773,3.2008636,3.075181,-11.98894542879128,10.14258631070455,3.2028656,3.0557928,-10.14458932411048,
xlnet,1e-06,16,1,322.76727867126465,3.0831409,2.8892956,-7.965568592165946,10.132081906000773,3.2008636,3.075181,-11.98894542879128,10.14258631070455,3.2028656,3.0557928,-10.14458932411048,150.44208908081055
xlnet,1e-06,16,2,332.8230333328247,3.1324098,2.9398804,-8.254401171766983,10.100510279337565,3.1959105,3.0700257,-11.94877929261039,10.111215829849243,3.197947,3.0506375,-10.110386906658936,
xlnet,1e-06,16,2,332.8230333328247,3.1324098,2.9398804,-8.254401171766983,10.100510279337565,3.1959105,3.0700257,-11.94877929261039,10.111215829849243,3.197947,3.0506375,-10.110386906658936,427.68637204170227
xlnet,1e-06,32,1,161.39128160476685,3.0830333,2.899476,-7.96494401325196,10.579944133758545,3.1908617,3.0647693,-11.907898947940714,10.336018085479736,3.1929336,3.045381,-10.075576485459724,
xlnet,1e-06,32,1,161.39128160476685,3.0830333,2.899476,-7.96494401325196,10.579944133758545,3.1908617,3.0647693,-11.907898947940714,10.336018085479736,3.1929336,3.045381,-10.075576485459724,606.2479128837585
xlnet,1e-06,32,2,162.847421169281,3.0984142,2.90427,-8.054616992714218,10.54744036992391,3.1858158,3.059515,-11.867107249205468,10.303902626037598,3.1879227,3.0401275,-10.040842318020935,
xlnet,1e-06,32,2,162.847421169281,3.0984142,2.90427,-8.054616992714218,10.54744036992391,3.1858158,3.059515,-11.867107249205468,10.303902626037598,3.1879227,3.0401275,-10.040842318020935,1204.2874600887299
electra,0.01,16,1,38.33446381986141,1.0652548,0.4320352,-0.07028178725113965,0.7680253411332766,0.90104824,0.45563576,-0.029285051231414005,0.9040619824081659,0.97458285,0.49788177,-0.03186797737838343,
electra,0.01,16,1,38.33446381986141,1.0652548,0.4320352,-0.07028178725113965,0.7680253411332766,0.90104824,0.45563576,-0.029285051231414005,0.9040619824081659,0.97458285,0.49788177,-0.03186797737838343,20.182512760162354
electra,0.01,16,2,36.52598222345114,1.0834352,0.33446813,-0.10712581648895658,0.7788178748063123,0.91120785,0.30221856,-0.05262690813356885,0.9010549878391126,0.9769672,0.2990484,-0.03692325706859001,
electra,0.01,16,2,36.52598222345114,1.0834352,0.33446813,-0.10712581648895658,0.7788178748063123,0.91120785,0.30221856,-0.05262690813356885,0.9010549878391126,0.9769672,0.2990484,-0.03692325706859001,32.57154607772827
electra,0.01,32,1,105.3798890709877,2.4905818,2.2940714,-4.850496424510483,6.067662318547566,2.450119,2.405172,-6.6105133160957426,6.218811591466268,2.4947333,2.4694896,-5.7613726298037315,
electra,0.01,32,1,105.3798890709877,2.4905818,2.2940714,-4.850496424510483,6.067662318547566,2.450119,2.405172,-6.6105133160957426,6.218811591466268,2.4947333,2.4694896,-5.7613726298037315,26.645070791244507
electra,0.01,32,2,26.49004492163658,1.3226254,0.7770499,-0.6499273194994302,1.6875171562035878,1.1960117,0.8010341,-0.8134702097648805,1.6108131855726242,1.2375169,0.7816459,-0.6637533282855821,
electra,0.01,32,2,26.49004492163658,1.3226254,0.7770499,-0.6499273194994302,1.6875171562035878,1.1960117,0.8010341,-0.8134702097648805,1.6108131855726242,1.2375169,0.7816459,-0.6637533282855821,31.96080994606018
electra,1e-06,16,1,53.19749566912651,1.2536762,0.7013515,-0.4823880751541585,1.3649863104025524,1.195551,0.8003463,-0.8120737159867359,1.4640085498491924,1.2370827,0.7809581,-0.662585797938553,
electra,1e-06,16,1,53.19749566912651,1.2536762,0.7013515,-0.4823880751541585,1.3649863104025524,1.195551,0.8003463,-0.8120737159867359,1.4640085498491924,1.2370827,0.7809581,-0.662585797938553,20.02436923980713
electra,1e-06,16,2,53.28360438346863,1.246272,0.69857055,-0.4649297222056987,1.3638980289300282,1.1950896,0.79965687,-0.8106751815385438,1.4629470854997635,1.2366475,0.7802686,-0.6614163491195508,
electra,1e-06,16,2,53.28360438346863,1.246272,0.69857055,-0.4649297222056987,1.3638980289300282,1.1950896,0.79965687,-0.8106751815385438,1.4629470854997635,1.2366475,0.7802686,-0.6614163491195508,32.680584192276
electra,1e-06,32,1,26.46658581495285,1.250956,0.7010383,-0.4759621519924906,1.6840792099634807,1.1946276,0.7989661,-0.8092754166431371,1.607528194785118,1.2362119,0.77957803,-0.6602459334622253,
electra,1e-06,32,1,26.46658581495285,1.250956,0.7010383,-0.4759621519924906,1.6840792099634807,1.1946276,0.7989661,-0.8092754166431371,1.607528194785118,1.2362119,0.77957803,-0.6602459334622253,20.567044019699097
electra,1e-06,32,2,26.29951211810112,1.2458451,0.69570494,-0.463926324620374,1.6829301367203395,1.1941648,0.7982738,-0.8078733766168267,1.6064302672942479,1.2357754,0.77888554,-0.6590736476301231,
electra,1e-06,32,2,26.29951211810112,1.2458451,0.69570494,-0.463926324620374,1.6829301367203395,1.1941648,0.7982738,-0.8078733766168267,1.6064302672942479,1.2357754,0.77888554,-0.6590736476301231,32.03794288635254
